Date,Platform,Partner,Brands included,Deal type
4/22/2025,OpenAI,The Washington Post,1,Licensing
2/14/2025,OpenAI,Guardian Media Group,1,Licensing
2/10/2025,OpenAI,Schibsted Media Group,4,Licensing
1/16/2025,Mistral,Agence France-Press,1,Licensing
1/15/2025,Google,Associated Press,1,Licensing
1/15/2025,OpenAI,Axios,1,Licensing
12/5/2024,Perplexity,Adweek,1,Licensing
12/5/2024,Perplexity,Blavity,1,Licensing
12/5/2024,Perplexity,DPReview,1,Licensing
12/5/2024,Perplexity,Gear Patrol,1,Licensing
12/5/2024,Perplexity,Lee Enterprises,92,Licensing
12/5/2024,Perplexity,Los Angeles Times,1,Licensing
12/5/2024,Perplexity,MediaLab,1,Licensing
12/5/2024,Perplexity,Mexico News Daily,1,Licensing
12/5/2024,Perplexity,Minkabu Infonoid,1,Licensing
12/5/2024,Perplexity,NTV,1,Licensing
12/5/2024,Perplexity,NewsPicks,1,Licensing
12/5/2024,Perplexity,Prisa Media,4,Licensing
12/5/2024,Perplexity,Stern,1,Licensing
12/5/2024,Perplexity,The Independent,1,Licensing
12/5/2024,Perplexity,World History Encyclopedia,1,Licensing
12/4/2024,OpenAI,Future,138,Licensing
11/20/2024,ProRata,Exponential View,1,Licensing
11/20/2024,ProRata,Guardian Media Group,1,Licensing
11/20/2024,ProRata,Hello!,1,Licensing
11/20/2024,ProRata,Mediahuis,19,Licensing
11/20/2024,ProRata,Prospect,1,Licensing
11/20/2024,ProRata,Reach PLC,39,Licensing
11/20/2024,ProRata,Sky News,1,Licensing
11/20/2024,ProRata,dmg media,5,Licensing
11/13/2024,Factiva/Dow Jones,AWP Finanznachrichten AG,1,Licensing
11/13/2024,Factiva/Dow Jones,Barron's,1,Licensing
11/13/2024,Factiva/Dow Jones,Dow Jones Newswires,1,Licensing
11/13/2024,Factiva/Dow Jones,Financial News,1,Licensing
11/13/2024,Factiva/Dow Jones,Investor's Business Daily,1,Licensing
11/13/2024,Factiva/Dow Jones,MarketWatch,1,Licensing
11/13/2024,Factiva/Dow Jones,News Corp Australia,1,Licensing
11/13/2024,Factiva/Dow Jones,News UK,1,Licensing
11/13/2024,Factiva/Dow Jones,Private Equity News,1,Licensing
11/13/2024,Factiva/Dow Jones,The Associated Press,1,Licensing
11/13/2024,Factiva/Dow Jones,The Wall Street Journal,1,Licensing
11/13/2024,Factiva/Dow Jones,The Washington Post,1,Licensing
10/25/2024,Meta,Reuters,1,Licensing
10/8/2024,OpenAI,Hearst,84,Licensing
10/1/2024,Microsoft,Axel Springer,3,Licensing
10/1/2024,Microsoft,Hearst Magazines,28,Licensing
10/1/2024,Microsoft,Reuters,1,Licensing
10/1/2024,Microsoft,The Financial Times,1,Licensing
10/1/2024,Microsoft,USA Today Network,216,Licensing
9/27/2024,ProRata,TIME,1,Licensing
8/20/2024,OpenAI,Conde Nast,23,Licensing
8/7/2024,ProRata,Axel Springer,3,Licensing
8/7/2024,ProRata,Fortune,1,Licensing
8/7/2024,ProRata,The Atlantic,1,Licensing
8/7/2024,ProRata,The Financial Times,1,Licensing
8/7/2024,ProRata,Universal Music Group,1,Licensing
7/29/2024,Perplexity,Der Spiegel,1,Licensing
7/29/2024,Perplexity,Entrepreneur,1,Licensing
7/29/2024,Perplexity,Fortune,1,Licensing
7/29/2024,Perplexity,TIME,1,Licensing
7/29/2024,Perplexity,The Texas Tribune,1,Licensing
7/29/2024,Perplexity,WordPress.com,1,Licensing
6/27/2024,OpenAI,TIME,1,Licensing
5/29/2024,OpenAI,The Atlantic,1,Licensing
5/29/2024,OpenAI,Vox Media,12,Licensing
5/22/2024,OpenAI,News Corp,15,Licensing
5/8/2024,Microsoft,Informa,1,Licensing
5/7/2024,OpenAI,Dotdash Meredith,42,Licensing
4/29/2024,Microsoft,Axel Springer,3,Licensing
4/29/2024,OpenAI,The Financial Times,1,Licensing
3/13/2024,OpenAI,Le Monde,1,Licensing
3/13/2024,OpenAI,Prisa Media,4,Licensing
12/13/2023,OpenAI,Axel Springer,3,Licensing
7/13/2023,OpenAI,Associated Press,1,Licensing
3/12/2023,NVidia,Getty Images,1,Licensing
12/9/2024,ProRata,270 Media,,Licensing
12/9/2024,ProRata,AdWeek,,Licensing
12/9/2024,ProRata,Arena Group,,Licensing
12/9/2024,ProRata,Atlas Obscura,,Licensing
12/9/2024,ProRata,Buzzfeed,,Licensing
11/25/2024,ProRata,DPCMO,,Licensing
12/9/2024,ProRata,Fiscal Note,,Licensing
12/9/2024,ProRata,Foreign Policy,,Licensing
12/9/2024,ProRata,Gear Patrol,,Licensing
12/9/2024,ProRata,Healthline (RVO Media),,Licensing
12/9/2024,ProRata,Industry Dive,,Licensing
need to confirm,ProRata,Kathimerini,,Licensing
12/9/2024,ProRata,Lee Enterprises,,Licensing
12/9/2024,ProRata,Map Happy,,Licensing
3/26/2025,ProRata,McClatchy,,Licensing
3/26/2025,ProRata,MIT Technology Review,,Licensing
11/20/2024,ProRata,Mumsnet,,Licensing
12/9/2024,ProRata,Newstex,,Licensing
12/9/2024,ProRata,Pleroma Media/IBT,,Licensing
12/9/2024,ProRata,Pro Football Network,,Licensing
12/9/2024,ProRata,Recurrent Ventures,,Licensing
1/29/2025,ProRata,Science Magazine,,Licensing
12/9/2024,ProRata,Skift,,Licensing
12/9/2024,ProRata,Slate,,Licensing
12/9/2024,ProRata,Snopes,,Licensing
12/9/2024,ProRata,StyleBlueprint,,Licensing
12/9/2024,ProRata,TipRanks,,Licensing
12/9/2024,ProRata,Washingtonian,,Licensing
3/31/2025,ProRata,Wikipedia,,Licensing
12/9/2024,ProRata,Worth Magazine,,Licensing
4/26/2025,ProRata,News/Media Alliance,,Licensing
5/29/2024,OpenAI,WAN-IFRA,128,Accelerator Program
2/5/2024,Microsoft,Semafor,1,Curation Tool
10/22/2024,OpenAI,The Lenfest Institute for Journalism,1,Grantmaking
7/18/2023,OpenAI,American Journalism Project,1,Grantmaking
10/22/2024,OpenAI,Chicago Public Media,2,Newsroom Experimentation
10/22/2024,OpenAI,"Newsday (Long Island, NY)",1,Newsroom Experimentation
10/22/2024,OpenAI,The Minnesota Star Tribune,1,Newsroom Experimentation
10/22/2024,OpenAI,The Philadelphia Inquirer,1,Newsroom Experimentation
10/22/2024,OpenAI,The Seattle Times,1,Newsroom Experimentation
12/20/2023,OpenAI,CT Mirror,1,Newsroom Experimentation
12/20/2023,OpenAI,Centro de Periodismo Investigativo (CPI),1,Newsroom Experimentation
12/20/2023,OpenAI,Cityside,1,Newsroom Experimentation
12/20/2023,OpenAI,Civic News Company,2,Newsroom Experimentation
12/20/2023,OpenAI,Montana Free Press,1,Newsroom Experimentation
12/20/2023,OpenAI,Open Campus,1,Newsroom Experimentation
12/20/2023,OpenAI,Outlier Media,1,Newsroom Experimentation
12/20/2023,OpenAI,Sahan Journal,1,Newsroom Experimentation
12/20/2023,OpenAI,Spotlight PA,1,Newsroom Experimentation
12/20/2023,OpenAI,The City,1,Newsroom Experimentation
12/20/2023,OpenAI,The Marshall Project,1,Newsroom Experimentation
12/20/2023,OpenAI,The Nebraska Journalism Trust,1,Newsroom Experimentation
12/20/2023,OpenAI,inewsource,1,Newsroom Experimentation
2/5/2024,Microsoft,Nota,1,Tool Development
2/5/2024,Microsoft,"Craig Newmark Graduate School of Journalism, CUNY",1,Training Program
2/5/2024,Microsoft,Online News Association,1,Training Program
2/5/2024,Microsoft,The GroundTruth Project,1,Training Program
1/1/2024,Google,"FT Strategies, The Financial Times",1,Training Program
8/8/2023,OpenAI,"Arthur L. Carter Journalism Institute, NYU",1,Training Program